Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
9 predictions for 20202029;The world as we know it is about to change fast.;1;Ben Longstaff;The Startup;2020;1;1;Machine-Learning;11;11.5K;0;https://medium.com/swlh/9-predictions-for-2020-2029-555312fc69fc?source=tag_archive---------0-----------------------;https://medium.com/@ben_longstaff?source=tag_archive---------0-----------------------
Implementing a fully convolutional network (FCN) in TensorFlow 2;A tutorial on building, training and;1;Himanshu Rawlani;Towards Data Science;2020;1;1;Machine-Learning;11;333;0;https://towardsdatascience.com/implementing-a-fully-convolutional-network-fcn-in-tensorflow-2-3c46fb61de3b?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@himanshurawlani?source=tag_archive---------1-----------------------
Richer Sentence Embeddings using Sentence-BERTPart I;Using naive sentence embeddings from BERT or;1;Founders;Genei;2020;1;1;Machine-Learning;7;371;0;https://medium.com/genei-technology/richer-sentence-embeddings-using-sentence-bert-part-i-ce1d9e0b1343?source=tag_archive---------2-----------------------;https://medium.com/@GeneiFounders?source=tag_archive---------2-----------------------
NaN;What is it and how do we achieve it?;1;Patricia Thaine;Towards Data Science;2020;1;1;Machine-Learning;10;301;0;https://towardsdatascience.com/perfectly-privacy-preserving-ai-c14698f322f5?source=tag_archive---------3-----------------------;https://towardsdatascience.com/@patriciathaine?source=tag_archive---------3-----------------------
The Waiting Paradox: An Intro to Probability Distributions;How much longer do I have to wait for my;1;Maike Elisa;Cantor s Paradise;2020;1;1;Machine-Learning;8;824;0;https://medium.com/cantors-paradise/the-waiting-paradox-an-intro-to-probability-distributions-97c0aedb8c1?source=tag_archive---------4-----------------------;https://medium.com/@maikeelisa?source=tag_archive---------4-----------------------
Sentiment Analysis of Movie Reviews in NLTK Python;A gentle introduction to sentiment analysis;1;S Joel Franklin;NaN;2020;1;1;Machine-Learning;4;4;0;https://medium.com/@joel_34096/sentiment-analysis-of-movie-reviews-in-nltk-python-4af4b76a6f3?source=tag_archive---------5-----------------------;https://medium.com/@joel_34096?source=tag_archive---------5-----------------------
Install Anaconda (Python 3.7) on Mac OSX Catalina;Hi, everyone !;1;Nonthakon Jitchiranant;NaN;2020;1;1;Machine-Learning;2;90;0;https://medium.com/@nonthakon/install-anaconda-python-3-7-on-mac-osx-catalina-aec9ba7537b7?source=tag_archive---------6-----------------------;https://medium.com/@nonthakon?source=tag_archive---------6-----------------------
An Introduction to Decision Trees with Python and scikit-learn;A complete guide to getting an intuitive understanding as well as a mathematical understanding of Decision Trees to implement your first;0;Mikkel Duif;Towards Data Science;2020;1;1;Machine-Learning;8;105;0;https://towardsdatascience.com/an-introduction-to-decision-trees-with-python-and-scikit-learn-1a5ba6fc204f?source=tag_archive---------7-----------------------;https://towardsdatascience.com/@mikkelduif?source=tag_archive---------7-----------------------
Gradient Based Optimizations: Jacobians, Jababians & Hessians;Sometimes we need to find all of the;1;Jake Batsuuri;The Startup;2020;1;1;Machine-Learning;7;237;0;https://medium.com/swlh/gradient-based-optimizations-jacobians-jababians-hessians-b7cbe62d662d?source=tag_archive---------8-----------------------;https://medium.com/@tbatsorry?source=tag_archive---------8-----------------------
Easy KNN algorithm using scikit-learn;In this blog, we will understand what is K-nearest neighbors, how does this algorithm work;1;Abdul Azeem;Analytics Vidhya;2020;1;1;Machine-Learning;5;125;0;https://medium.com/analytics-vidhya/easy-knn-algorithm-using-scikit-learn-7f6e256c9453?source=tag_archive---------9-----------------------;https://medium.com/@abdul.tech689?source=tag_archive---------9-----------------------
[Time Series Forecast] Anomaly detection with Facebook Prophet;Anomaly detection with Prophet by;1;Paul Lo;Analytics Vidhya;2020;1;1;Machine-Learning;8;25;0;https://medium.com/analytics-vidhya/time-series-forecast-anomaly-detection-with-facebook-prophet-558136be4b8d?source=tag_archive---------10-----------------------;https://medium.com/@paullo0106?source=tag_archive---------10-----------------------
Decision Trees for Dummies;An Intuitive Approach;1;Pratish;Towards Data Science;2020;1;1;Machine-Learning;5;83;0;https://towardsdatascience.com/decision-trees-for-dummies-37dbee6c7169?source=tag_archive---------11-----------------------;https://towardsdatascience.com/@pratishgupta91?source=tag_archive---------11-----------------------
The Decade of Data Science;From Watson to the White House, a look at some of the most valuable;1;Matt Yancey;Towards Data Science;2020;1;1;Machine-Learning;6;108;0;https://towardsdatascience.com/the-decade-of-data-science-4c247aaafa2f?source=tag_archive---------12-----------------------;https://towardsdatascience.com/@mattyancey?source=tag_archive---------12-----------------------
Find Linear Transformation Based on Known Points;This story shows how to identify a linear;1;Gergely D. N meth;Towards Data Science;2020;1;1;Machine-Learning;4;8;0;https://towardsdatascience.com/find-linear-transformation-based-on-known-points-64785e987db0?source=tag_archive---------13-----------------------;https://towardsdatascience.com/@neged.ng?source=tag_archive---------13-----------------------
Useful Probability Distributions and Structured Probabilistic Models;These are some common;1;Jake Batsuuri;The Startup;2020;1;1;Machine-Learning;8;305;0;https://medium.com/swlh/useful-probability-distributions-and-structured-probabilistic-models-a4123417833b?source=tag_archive---------14-----------------------;https://medium.com/@tbatsorry?source=tag_archive---------14-----------------------
Intuition behind Naive Bayes algorithm & Laplace(Additive) smoothing;NaN;1;Sai Karthik Chedella;Analytics Vidhya;2020;1;1;Machine-Learning;7;19;0;https://medium.com/analytics-vidhya/intuition-behind-naive-bayes-algorithm-laplace-additive-smoothing-e2cb43a82901?source=tag_archive---------15-----------------------;https://medium.com/@saikarthik_81304?source=tag_archive---------15-----------------------
Linear Algebra Data Structures and Operations;Linear algebra is incredibly useful for deep learning;1;Jake Batsuuri;Towards Data Science;2020;1;1;Machine-Learning;7;146;0;https://towardsdatascience.com/linear-algebra-data-structures-and-operations-500d54db3447?source=tag_archive---------16-----------------------;https://towardsdatascience.com/@tbatsorry?source=tag_archive---------16-----------------------
How To Manage Data Science Project In 2020;4 ingredients for successful DS project management;1;Leihua Ye, Ph.D. Researcher;Towards Data Science;2020;1;1;Machine-Learning;6;38;0;https://towardsdatascience.com/do-data-science-good-until-do-it-great-in-2020-7466598c5cd0?source=tag_archive---------17-----------------------;https://towardsdatascience.com/@leihua-ye?source=tag_archive---------17-----------------------
Building My Neural Network From Scratch;Understanding the Nuts and Bolts of Deep Learning in Python;1;Tracy Chang;Towards Data Science;2020;1;1;Machine-Learning;4;32;0;https://towardsdatascience.com/building-my-neural-network-from-scratch-cbb97321cb8f?source=tag_archive---------18-----------------------;https://towardsdatascience.com/@b06201018?source=tag_archive---------18-----------------------
2019s Top Machine Learning Articles;The best written and video content from the year in machine;1;Derrick Mwiti;Heartbeat;2020;1;1;Machine-Learning;10;59;0;https://heartbeat.fritz.ai/2019s-top-machine-learning-articles-49082b4ca946?source=tag_archive---------19-----------------------;https://heartbeat.fritz.ai/@mwitiderrick?source=tag_archive---------19-----------------------
Can the dynamic linking of neural activations bring us closer to strong AI?;Most artificial neural;1;Lukas Molzberger;Towards Data Science;2020;1;1;Machine-Learning;10;34;0;https://towardsdatascience.com/can-the-dynamic-linking-of-neural-activations-bring-us-closer-to-strong-ai-bc85b64c9f82?source=tag_archive---------20-----------------------;https://towardsdatascience.com/@lukasmolzberger?source=tag_archive---------20-----------------------
Smallest Neural Network for Beginners;Building your Intuition on Neural Networks with the help of a;1;Shiva Verma;Towards Data Science;2020;1;1;Machine-Learning;4;279;0;https://towardsdatascience.com/smallest-neural-network-for-complete-beginners-in-4-mins-5a398b574053?source=tag_archive---------21-----------------------;https://towardsdatascience.com/@shiva-verma?source=tag_archive---------21-----------------------
Memes Detection Android App using Deep Learning;NaN;1;Pranay Sawant;Data Driven Investor;2020;1;1;Machine-Learning;6;96;0;https://medium.com/datadriveninvestor/memes-detection-android-app-using-deep-learning-d2c65347e6f3?source=tag_archive---------22-----------------------;https://medium.com/@pranaysawant22?source=tag_archive---------22-----------------------
 Anaconda (Python 3.7)  Mac OSX Catalina;NaN;1;Nonthakon Jitchiranant;NaN;2020;1;1;Machine-Learning;2;13;0;https://medium.com/@nonthakon/%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87-anaconda-python-3-7-%E0%B8%9A%E0%B8%99-mac-osx-catalina-4cf52cd7253b?source=tag_archive---------23-----------------------;https://medium.com/@nonthakon?source=tag_archive---------23-----------------------
A Complete Model Diagnostics of Multivariate Linear Regression;NaN;1;Abhilash Kumar Sirigari;NaN;2020;1;1;Machine-Learning;10;84;0;https://medium.com/@abhilash.sirigari/a-complete-model-diagnostics-of-multivariate-linear-regression-90aace20ecaf?source=tag_archive---------24-----------------------;https://medium.com/@abhilash.sirigari?source=tag_archive---------24-----------------------
Numerical Method Considerations for Machine Learning;Machine learning algorithms often require a lot;1;Jake Batsuuri;Towards Data Science;2020;1;1;Machine-Learning;4;27;0;https://towardsdatascience.com/numerical-method-considerations-for-machine-learning-e69331d28611?source=tag_archive---------25-----------------------;https://towardsdatascience.com/@tbatsorry?source=tag_archive---------25-----------------------
Inference of Origin-Destination Flows and Activity Locations;A Literature Review of Some of the Main;1;Joel Pires;Towards Data Science;2020;1;1;Machine-Learning;10;223;0;https://towardsdatascience.com/inference-of-origin-destination-flows-and-activity-locations-81f56fbe7c45?source=tag_archive---------26-----------------------;https://towardsdatascience.com/@joelpires?source=tag_archive---------26-----------------------
Linear Algebra is fun, trust me! (Part 1);Linear Algebra is one area of Mathematics that is extensively used throughout machine;1;Shanya Sharma;Analytics Vidhya;2020;1;1;Machine-Learning;8;28;0;https://medium.com/analytics-vidhya/linear-algebra-is-fun-trust-me-part-1-dfab83c2453e?source=tag_archive---------27-----------------------;https://medium.com/@the_change?source=tag_archive---------27-----------------------
2019: End of Year Review;NaN;1;AI Saturdays Lagos;NaN;2020;1;1;Machine-Learning;8;138;0;https://medium.com/@AI6Lagos/2019-end-of-year-review-c2868c4d271?source=tag_archive---------28-----------------------;https://medium.com/@AI6Lagos?source=tag_archive---------28-----------------------
() AI   ;  No-code AI   EasyDeep    .;1;Woojin Andy Kim;Algorima;2020;1;1;Machine-Learning;11;6;0;https://medium.com/algorima/%E9%9D%9E%EC%A0%84%EA%B3%B5%EC%9E%90-%EC%9D%BC%EB%B0%98%EC%9D%B8-ai-%EA%B5%90%EC%9C%A1%EC%9D%98-%EC%96%B4%EC%A0%9C%EC%99%80-%EB%82%B4%EC%9D%BC-a79aa1c34a98?source=tag_archive---------29-----------------------;https://medium.com/@woojinandykim?source=tag_archive---------29-----------------------
Computationally Efficient Matrices and Matrix Decompositions;Previously we talked a little bit about;1;Jake Batsuuri;The Startup;2020;1;1;Machine-Learning;10;155;0;https://medium.com/swlh/computationally-efficient-matrices-and-matrix-decompositions-64a134d76a9a?source=tag_archive---------30-----------------------;https://medium.com/@tbatsorry?source=tag_archive---------30-----------------------
Introduction to Instance Segmentation on images and video;NaN;1;Adam Simek;NaN;2020;1;1;Machine-Learning;6;55;0;https://medium.com/@adamsimek/introduction-to-instance-segmentation-on-images-and-video-14da3525f4c?source=tag_archive---------31-----------------------;https://medium.com/@adamsimek?source=tag_archive---------31-----------------------
Beware of implementing machine learning models as black box tools;Using any machine learning model as;1;Benjamin Obi Tayo Ph.D.;Towards Data Science;2020;1;1;Machine-Learning;5;17;0;https://towardsdatascience.com/beware-of-implementing-machine-learning-models-as-black-box-tools-d08947db7536?source=tag_archive---------32-----------------------;https://towardsdatascience.com/@benjaminobi?source=tag_archive---------32-----------------------
The Power of Mathematical Ingenuity;Computer Vision for Skew Correction, Text Inversion, Rotation Classification, Homography & Object Search with Applied Math;0;Anand P V;Towards Data Science;2020;1;1;Machine-Learning;10;306;0;https://towardsdatascience.com/the-power-of-mathematical-ingenuity-49c7b6cfe05e?source=tag_archive---------33-----------------------;https://towardsdatascience.com/@AnandAI?source=tag_archive---------33-----------------------
 Word Spelling Correction  Char2Vec; Spelling correction   ;1;dogterbox;ELI Empower Language Intelligence;2020;1;1;Machine-Learning;3;55;0;https://medium.com/eli-empower-language-intelligence/%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%97%E0%B8%B3-word-spelling-correction-%E0%B8%94%E0%B9%89%E0%B8%A7%E0%B8%A2-char2vec-6167430492bc?source=tag_archive---------34-----------------------;https://medium.com/@dogterbox?source=tag_archive---------34-----------------------
Tu mejor amigo digital;Replika, lo ltimo en inteligencia artificial emocional;1;ThinkTech Seminars;ThinkTech;2020;1;1;Machine-Learning;7;49;0;https://medium.com/thinktech/tu-mejor-amigo-digital-1-3-69a7add89362?source=tag_archive---------35-----------------------;https://medium.com/@thinktechseminars?source=tag_archive---------35-----------------------
Coloring a Sudoku graph with Neo4j;Experiment with the new K1-Coloring algorithm from the Neo4j graph;1;Nathan Smith;Neo4j Developer Blog;2020;1;1;Machine-Learning;3;79;0;https://medium.com/neo4j/coloring-a-sudoku-graph-with-neo4j-f86c891f6879?source=tag_archive---------36-----------------------;https://medium.com/@nsmith_piano?source=tag_archive---------36-----------------------
Build a Text Classification Model using Watson AutoAI;How to train a text classifier using Watson;1;Mohamed Gharibi;Towards Data Science;2020;1;1;Machine-Learning;4;8;0;https://towardsdatascience.com/build-a-text-classification-model-using-watson-autoai-3650c461642?source=tag_archive---------37-----------------------;https://towardsdatascience.com/@gharibimo?source=tag_archive---------37-----------------------
Guinea Pig Breed Classification;How to identify cavy breed using images through machine learning;1;Fan Yeng-Loon;Towards Data Science;2020;1;1;Machine-Learning;10;259;0;https://towardsdatascience.com/guinea-pig-breed-classification-517fbb036ee6?source=tag_archive---------38-----------------------;https://towardsdatascience.com/@ringoshin?source=tag_archive---------38-----------------------
Create Time Series Heat Maps Using A Pandas Extension;NaN;1;Chris Shaw;Pandex Journal;2020;1;1;Machine-Learning;3;19;0;https://medium.com/pandex-journal/create-time-series-heat-maps-using-a-pandas-extension-dff41df1d393?source=tag_archive---------39-----------------------;https://medium.com/@connectedblue?source=tag_archive---------39-----------------------
Probability Theory Ideas and Concepts;Under the classic division of the umbrella of topics under AI;1;Jake Batsuuri;Towards Data Science;2020;1;1;Machine-Learning;5;72;0;https://towardsdatascience.com/probability-theory-ideas-and-concepts-7e33d6ff0a5c?source=tag_archive---------40-----------------------;https://towardsdatascience.com/@tbatsorry?source=tag_archive---------40-----------------------
Vision-Based AI Model Solves Sudoku at a Glance;NaN;1;Synced;SyncedReview;2020;1;1;Machine-Learning;3;61;0;https://medium.com/syncedreview/vision-based-ai-model-solves-sudoku-at-a-glance-440535c83e8?source=tag_archive---------41-----------------------;https://medium.com/@Synced?source=tag_archive---------41-----------------------
Book Review # 1: The Man Who Solved the Market.. How Jim Simons Launched the Quant Revolution;NaN;1;Anurag Bhatia;NaN;2020;1;1;Machine-Learning;3;17;0;https://medium.com/@anuragbhatia198/book-review-1-the-man-who-solved-the-market-how-jim-simons-launched-the-quant-revolution-34589c8aa59d?source=tag_archive---------42-----------------------;https://medium.com/@anuragbhatia198?source=tag_archive---------42-----------------------
Feature Engineering for Kaggle Competition;Feature engineering is the process of using domain knowledge of the data to create features that make machine learning algorithms work. Feature;0;Guang X;Analytics Vidhya;2020;1;1;Machine-Learning;8;3;0;https://medium.com/analytics-vidhya/feature-engineering-for-kaggle-competition-5616196bf274?source=tag_archive---------43-----------------------;https://medium.com/@guangx?source=tag_archive---------43-----------------------
Graph convolutional variational autoencoders;graph convolutional variational;1;Rojin Safavi;NaN;2020;1;1;Machine-Learning;2;1;0;https://medium.com/@rojinsafavi/graph-convolutional-variational-autoencoders-67313708c4f8?source=tag_archive---------44-----------------------;https://medium.com/@rojinsafavi?source=tag_archive---------44-----------------------
Machine learning in 2020 from the AI startup founder;NaN;1;Ivan Fokeev;NaN;2020;1;1;Machine-Learning;2;488;0;https://medium.com/@ivanfokeev/machine-learning-in-2020-from-the-ai-startup-founder-4ecb6745b6ce?source=tag_archive---------45-----------------------;https://medium.com/@ivanfokeev?source=tag_archive---------45-----------------------
Hello World, We are Scalez!;Who Are We?;0;Scalez;Scalez;2020;1;1;Machine-Learning;4;83;0;https://medium.com/scalez/hello-world-we-are-scalez-aca446d80a62?source=tag_archive---------46-----------------------;https://medium.com/@Scalez?source=tag_archive---------46-----------------------
First Step in Machine Learning;NaN;1;Bhartendu Dubey;Analytics Vidhya;2020;1;1;Machine-Learning;5;84;0;https://medium.com/analytics-vidhya/first-step-in-machine-learning-3232338aa8f8?source=tag_archive---------47-----------------------;https://medium.com/@bhartendudubey?source=tag_archive---------47-----------------------
Story of Two Spiders;How twin sisters explored arts, science and business before starting a tech company.;1;SpiderTwin Solutions;NaN;2020;1;1;Machine-Learning;3;25;0;https://medium.com/@spideysolutions/story-of-two-spiders-bb6eec725c84?source=tag_archive---------48-----------------------;https://medium.com/@spideysolutions?source=tag_archive---------48-----------------------
When MarTech Meets Artificial Intelligencethe Good, the Bad, and the Ugly (Part 1);NaN;1;Kung-Hsiang, HuangSteeve);Rosetta.ai Blog;2020;1;1;Machine-Learning;5;104;0;https://blog.rosetta.ai/when-martech-meets-artificial-intelligence-the-good-the-bad-the-ugly-part-1-fe21fe428485?source=tag_archive---------49-----------------------;https://blog.rosetta.ai/@huangkh19951228?source=tag_archive---------49-----------------------
CoreML: Snflandrma;CreateML ile snflandrma modelleri oluturarak kendi makine renmesi modellerinizi oluturabilirsiniz.;0;Tutku Do a Nazl ;TurkishKit;2020;1;1;Machine-Learning;5;316;0;https://medium.com/turkishkit/createml-ile-s%C4%B1n%C4%B1fland%C4%B1rma-a8fc1070af5d?source=tag_archive---------50-----------------------;https://medium.com/@naztut.21?source=tag_archive---------50-----------------------
Democratizing Machine Learning;Once a new technology rolls over you, if youre not part of the steamroller, youre part of the road. ;1;Cody Frew;NaN;2020;1;1;Machine-Learning;5;128;0;https://medium.com/@codyfrew/democratizing-machine-learning-860c20949634?source=tag_archive---------51-----------------------;https://medium.com/@codyfrew?source=tag_archive---------51-----------------------
[TensorFlow 2.0] Word EmbeddingsPart 1;Machine learning models take vectors (arrays of numbers) as input. When working with text, the first thing we must do is to come up with a strategy to convert;0;A Ydobon;NaN;2020;1;1;Machine-Learning;3;50;0;https://medium.com/@financial-engineering/tensorflow-2-0-word-embeddings-part-1-da7f42af7f4a?source=tag_archive---------52-----------------------;https://medium.com/@financial-engineering?source=tag_archive---------52-----------------------
