Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
ResNet: A Simple Understanding of the Residual Networks;A comprehensive guide to understanding the beginning of ResNets;1;Taha Shahid;The Startup;2020;9;1;Neural Networks;6;194;0;https://medium.com/swlh/resnet-a-simple-understanding-of-the-residual-networks-bfd8a1b4a447?source=tag_archive---------0-----------------------;https://medium.com/@ta.22.ha.18.s?source=tag_archive---------0-----------------------
Architecture & Implementation of LeNet from Scratch in Pytorch;Recreating the oldest Neural Network;1;Balakrishnakumar V;Data Driven Investor;2020;9;1;Neural Networks;4;43;0;https://medium.com/datadriveninvestor/architecture-implementation-of-lenet-from-scratch-in-pytorch-709cc38c00a9?source=tag_archive---------1-----------------------;https://medium.com/@balakrishnakumar-v?source=tag_archive---------1-----------------------
[Part 1] Evaluating Offline Handwritten Text Recognition: Which Machine Learning Model is the Winner?;NaN;1;Anno.Ai;NaN;2020;9;1;Neural Networks;5;2;0;https://medium.com/@anno-ai/part-1-evaluating-offline-handwritten-text-recognition-which-machine-learning-model-is-the-9c39dcd0c746?source=tag_archive---------2-----------------------;https://medium.com/@anno-ai?source=tag_archive---------2-----------------------
[Part 2] Evaluating Offline Handwritten Text Recognition: Which Machine Learning Model is the Winner?;NaN;1;Anno.Ai;NaN;2020;9;1;Neural Networks;4;1;0;https://medium.com/@anno-ai/part-2-evaluating-offline-handwritten-text-recognition-which-machine-learning-model-is-the-e8c392b76328?source=tag_archive---------3-----------------------;https://medium.com/@anno-ai?source=tag_archive---------3-----------------------
NEU Surface Defect Dataset with Tensorflow API;Background:;1;Kevin Akbari;NaN;2020;9;1;Neural Networks;5;1;0;https://medium.com/@akbarikevin/neu-surface-defect-dataset-with-tensorflow-api-8753c85fe783?source=tag_archive---------4-----------------------;https://medium.com/@akbarikevin?source=tag_archive---------4-----------------------
Just transfer it!An intro to Transfer Learning.;NaN;1;Eshika Shah;IET-VIT;2020;9;1;Neural Networks;5;769;0;https://medium.com/iet-vit/just-transfer-it-an-intro-to-transfer-learning-f50c3f82a8e9?source=tag_archive---------5-----------------------;https://medium.com/@eshikashah2001?source=tag_archive---------5-----------------------
Activation functions in Neural Networks;Energizing neural networks !!;1;Pooja Mahajan;Analytics Vidhya;2020;9;1;Neural Networks;3;4;0;https://medium.com/analytics-vidhya/activation-functions-in-neural-networks-bcafebfddbf2?source=tag_archive---------6-----------------------;https://medium.com/@poojamahajan5131?source=tag_archive---------6-----------------------
Computer Vision: What, How, Why;A simple guide to a complex topic;1;Kyle Kieser;Analytics Vidhya;2020;9;1;Neural Networks;7;250;0;https://medium.com/analytics-vidhya/computer-vision-what-how-why-380607f0bd64?source=tag_archive---------7-----------------------;https://medium.com/@kyle-r-kieser?source=tag_archive---------7-----------------------
Deep Learning Part 1 Artificial Neurons;What exactly is deep learning, and how do neural networks;1;Willis Guo;Analytics Vidhya;2020;9;1;Neural Networks;6;2;0;https://medium.com/analytics-vidhya/deep-learning-part-1-artificial-neurons-e2a78cb27432?source=tag_archive---------8-----------------------;https://medium.com/@willisguo02?source=tag_archive---------8-----------------------
Introduction To Neural Network;Way to mimic the human brain;1;Damitha Dayananda;NaN;2020;9;1;Neural Networks;7;0;0;https://medium.com/@damithadayananda/introduction-to-neural-network-d2cf9e6c3f8f?source=tag_archive---------9-----------------------;https://medium.com/@damithadayananda?source=tag_archive---------9-----------------------
