Title;Subtitle;Image;Author;Publication;Year;Month;Day;Tag;Reading_Time;Claps;Comment;url;Author_url
Graph Neural NetworksAn overview;Over the past decade, weve seen that Neural Networks can perform;1;Sergios Karagiannakos;Towards Data Science;2020;2;1;Neural Networks;4;194;0;https://towardsdatascience.com/graph-neural-networks-an-overview-dfd363b6ef87?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@SergiosKar?source=tag_archive---------0-----------------------
Build an Artificial Neural Network from scratch to predict Coronavirus infection;NaN;1;Son Nguyen;NaN;2020;2;1;Neural Networks;9;98;0;https://medium.com/@ngocson2vn/build-an-artificial-neural-network-from-scratch-to-predict-coronavirus-infection-8948c64cbc32?source=tag_archive---------1-----------------------;https://medium.com/@ngocson2vn?source=tag_archive---------1-----------------------
Building a Train Horn Detection Neural Network;Weekend project to detect train horn sounds from a;1;Laan Labs;NaN;2020;2;1;Neural Networks;5;27;0;https://medium.com/@laanlabs/building-a-train-horn-detection-neural-network-ff368f127c1e?source=tag_archive---------2-----------------------;https://medium.com/@laanlabs?source=tag_archive---------2-----------------------
Optimization in Neural Networks;Hello Readers, here I will be discussing about the Optimizers and Error Back Propagation in Neural;1;Sardar Manmeeth Singh;Analytics Vidhya;2020;2;1;Neural Networks;9;0;0;https://medium.com/analytics-vidhya/optimization-in-neural-networks-d315dc2c8e46?source=tag_archive---------3-----------------------;https://medium.com/@manmeethsingh.sardar?source=tag_archive---------3-----------------------
Building Intuitions for TransformersAttentions;Seq2seq models for Neural Machine Translation;1;jiawei hu;Data Driven Investor;2020;2;1;Neural Networks;5;83;0;https://medium.com/datadriveninvestor/building-intuitions-for-transformers-attentions-5a37700d363e?source=tag_archive---------4-----------------------;https://medium.com/@jiaweihu08?source=tag_archive---------4-----------------------
Balancing The Three Pillars Of Success: Preparation, Opportunism, And Luck;NaN;1;Oleg Feldgajer;NaN;2020;2;1;Neural Networks;7;0;0;https://medium.com/@oleg-feldgajer/balancing-the-three-pillars-of-success-preparation-opportunism-and-luck-271dd064bd6c?source=tag_archive---------5-----------------------;https://medium.com/@oleg-feldgajer?source=tag_archive---------5-----------------------
NaN;Bom dia Ernesto,;1;Mark C. F. Sousa;NaN;2020;2;1;Neural Networks;2;0;1;https://medium.com/@ernestonathanielwinter/bon-dia-mark-thank-you-for-your-great-article-2f8f6bd98fd5?source=tag_archive---------6-----------------------;https://medium.com/@markfsousa?source=tag_archive---------6-----------------------
Using Graph Convolutional Neural Networks on Structured Documents for Information Extraction;NaN;1;Dhaval Potdar;Towards Data Science;2020;2;2;Neural Networks;7;504;0;https://towardsdatascience.com/using-graph-convolutional-neural-networks-on-structured-documents-for-information-extraction-c1088dcd2b8f?source=tag_archive---------0-----------------------;https://towardsdatascience.com/@dhavalpotdar?source=tag_archive---------0-----------------------
Weights, Biases, and Backpropagation;A simplified look at some essential components of a neural;1;Giovanni Rosati;Towards Data Science;2020;2;2;Neural Networks;4;74;0;https://towardsdatascience.com/weights-biases-and-backpropagation-bb9dfbb10f62?source=tag_archive---------1-----------------------;https://towardsdatascience.com/@gio_rosati?source=tag_archive---------1-----------------------
Getting started with Neural Networks;NaN;1;Junaid Rana;NaN;2020;2;2;Neural Networks;15;0;0;https://medium.com/@jouneidraza522/getting-started-with-neural-networks-ed1e5ec0f8eb?source=tag_archive---------2-----------------------;https://medium.com/@jouneidraza522?source=tag_archive---------2-----------------------
